year,month,day,accidents
2024,8,1,10
2024,8,2,16
2024,8,3,9
2024,8,4,8
2024,8,5,15
2024,8,6,16
2024,8,7,10
2024,8,8,11
2024,8,9,14
2024,8,10,7
2024,8,11,7
2024,8,12,12
2024,8,13,20
2024,8,14,14
2024,8,15,14
2024,8,16,14
2024,8,17,9
2024,8,18,8
2024,8,19,19
2024,8,20,16
2024,8,21,13
2024,8,22,23
2024,8,23,15
2024,8,24,13
2024,8,25,6
2024,8,26,17
2024,8,27,20
2024,8,28,15
2024,8,29,19
2024,8,30,17
2024,8,31,9
2024,9,1,8
2024,9,2,14
2024,9,3,25
2024,9,4,16
2024,9,5,26
2024,9,6,20
2024,9,7,10
2024,9,8,14
2024,9,9,8
2024,9,10,23
2024,9,11,16
2024,9,12,22
2024,9,13,20
2024,9,14,11
2024,9,15,15
2024,9,16,23
2024,9,17,18
2024,9,18,20
2024,9,19,31
2024,9,20,17
2024,9,21,14
2024,9,22,6
2024,9,23,15
2024,9,24,18
2024,9,25,23
2024,9,26,21
2024,9,27,14
2024,9,28,18
2024,9,29,9
2024,9,30,13
2024,10,1,28
2024,10,2,16
2024,10,3,17
2024,10,4,20
2024,10,5,6
2024,10,6,3
2024,10,7,9
2024,10,8,17
2024,10,9,11
2024,10,10,20
2024,10,11,16
2024,10,12,15
2024,10,13,7
2024,10,14,12
2024,10,15,18
2024,10,16,19
2024,10,17,20
2024,10,18,23
2024,10,19,16
2024,10,20,9
2024,10,21,20
2024,10,22,21
2024,10,23,22
2024,10,24,23
2024,10,25,20
2024,10,26,15
2024,10,27,6
2024,10,28,14
2024,10,29,10
2024,10,30,9
2024,10,31,22
2024,11,1,20
2024,11,2,10
2024,11,3,8
2024,11,4,18
2024,11,5,22
2024,11,6,14
2024,11,7,13
2024,11,8,20
2024,11,9,14
2024,11,10,9
2024,11,11,15
2024,11,12,26
2024,11,13,14
2024,11,14,17
2024,11,15,16
2024,11,16,4
2024,11,17,7
2024,11,18,18
2024,11,19,31
2024,11,20,26
2024,11,21,26
2024,11,22,32
2024,11,23,16
2024,11,24,11
2024,11,25,23
2024,11,26,13
2024,11,27,30
2024,11,28,25
2024,11,29,17
2024,11,30,4
2024,12,1,5
2024,12,2,9
2024,12,3,27
2024,12,4,22
2024,12,5,17
2024,12,6,18
2024,12,7,14
2024,12,8,6
2024,12,9,25
2024,12,10,22
2024,12,11,17
2024,12,12,16
2024,12,13,27
2024,12,14,17
2024,12,15,3
2024,12,16,30
2024,12,17,32
2024,12,18,26
2024,12,19,23
2024,12,20,26
2024,12,21,15
2024,12,22,7
2024,12,23,17
2024,12,24,2
2024,12,25,9
2024,12,26,10
2024,12,27,18
2024,12,28,2
2024,12,29,4
2024,12,30,20
2024,12,31,2
2025,1,1,6
2025,1,2,21
2025,1,3,25
2025,1,4,14
